,SalePrice
943,119750
944,160000
945,122000
946,141500
947,250000
948,340000
949,233500
950,78000
951,325000
952,142500
953,130000
954,277500
955,85500
956,235000
957,145000
958,215000
959,131750
960,172900
961,104900
962,135000
963,165000
964,96000
965,137500
966,140000
967,181000
968,212000
969,87000
970,217000
971,286500
972,282922
973,162000
974,100000
975,191500
976,191000
977,181000
978,163000
979,215000
980,112000
981,250000
982,138800
983,115000
984,96000
985,224500
986,398800
987,126000
988,155000
989,13100
990,128000
991,190000
992,135000
993,139000
994,178750
995,130000
996,143250
997,107500
998,167000
999,183900
1000,213000
1001,266500
1002,402861
1003,107000
1004,125000
1005,185750
1006,209000
1007,239000
1008,164000
1009,179900
1010,159500
1011,119000
1012,170000
1013,85000
1014,117500
1015,139500
1016,98000
1017,150000
1018,160000
1019,279500
1020,105000
1021,156450
1022,145000
1023,225000
1024,110000
1025,253293
1026,125000
1027,80000
1028,194500
1029,130000
1030,129900
1031,67000
1032,120000
1033,200000
1034,140000
1035,181000
1036,173000
1037,158000
1038,267000
1039,149000
1040,272500
1041,337000
1042,162000
1043,180000
1044,204000
1045,227000
1046,97500
1047,126000
1048,210000
1049,279500
1050,198500
1051,130000
1052,281500
1053,158000
1054,148000
1055,154000
1056,112000
1057,265000
1058,135000
1059,214000
1060,217000
1061,230000
1062,184000
1063,146000
1064,180400
1065,192000
1066,112000
1067,195800
1068,185900
1069,72500
1070,115000
1071,113000
1072,75200
1073,173000
1074,300000
1075,174900
1076,90500
1077,130000
1078,188500
1079,181500
1080,94000
1081,239799
1082,315000
1083,93000
1084,137000
1085,181000
1086,232500
1087,185000
1088,212000
1089,184900
1090,147000
1091,207500
1092,194000
1093,237500
1094,107900
1095,72000
1096,189000
1097,145000
1098,191000
1099,327000
1100,201000
1101,128000
1102,198900
1103,129400
1104,136500
1105,143000
1106,187500
1107,180000
1108,165500
1109,113000
1110,143000
1111,154500
1112,165600
1113,162000
1114,118858
1115,261329
1116,184500
1117,109900
1118,125200
1119,166000
1120,96000
1121,85500
1122,216000
1123,282500
1124,171925
1125,395039
1126,157000
1127,278000
1128,195000
1129,143000
1130,188000
1131,127000
1132,118500
1133,115000
1134,159500
1135,125000
1136,140000
1137,170000
1138,172500
1139,142000
1140,500000
1141,179900
1142,102900
1143,260000
1144,211000
1145,200000
1146,125000
1147,325000
1148,161000
1149,426000
1150,134000
1151,200000
1152,220000
1153,277000
1154,155900
1155,156500
1156,139000
1157,149900
1158,176000
1159,100000
1160,79000
1161,270000
1162,246900
1163,383000
1164,168000
1165,172500
1166,355000
1167,133900
1168,441929
1169,189000
1170,190000
1171,370967
1172,121500
1173,127000
1174,99500
1175,134000
1176,108500
1177,140000
1178,108000
1179,142000
1180,136000
1181,107500
1182,115000
1183,125000
1184,139500
1185,135000
1186,309000
1187,177900
1188,146000
1189,164000
1190,134500
1191,124000
1192,375000
1193,173500
1194,172000
1195,205000
1196,92000
1197,171000
1198,175000
1199,185900
1200,138000
1201,269500
1202,148500
1203,166800
1204,262280
1205,222000
1206,128000
1207,161500
1208,250000
1209,128000
1210,94500
1211,90000
1212,263550
1213,172785
1214,162000
1215,240900
1216,206580
1217,190000
1218,169000
1219,108500
1220,153000
1221,117000
1222,250000
1223,182000
1224,320000
1225,415298
1226,215000
1227,196000
1228,95541
1229,163000
1230,170000
1231,175000
1232,326000
1233,70000
1234,191750
1235,147000
1236,79900
1237,122500
1238,203000
1239,145000
1240,105000
1241,260116
1242,133000
1243,167000
1244,318750
1245,128250
1246,197000
1247,220000
1248,60000
1249,133500
1250,137000
1251,230000
1252,139600
1253,108000
1254,140000
1255,201000
1256,126000
1257,180000
1258,87550
1259,334000
1260,176500
1261,190000
1262,159000
1263,218000
1264,212700
1265,156820
1266,179900
1267,168500
1268,170000
1269,81000
1270,129000
1271,130000
1272,116000
1273,137000
1274,118900
1275,145000
1276,216837
1277,254750
1278,336000
1279,275000
1280,206900
1281,155000
1282,113000
1283,405749
1284,222000
1285,129000
1286,240000
1287,410000
1288,155000
1289,134500
1290,205000
1291,130500
1292,124000
1293,58500
1294,149900
1295,220000
1296,112500
1297,409900
1298,250000
1299,141500
1300,183000
1301,170000
1302,226500
1303,208300
1304,297000
1305,137000
1306,112500
1307,227680
1308,350000
1309,129000
1310,200000
1311,224900
1312,148800
1313,179000
1314,173000
1315,127500
1316,148000
1317,260000
1318,151500
1319,199000
1320,176500
1321,219000
1322,130000
1323,345000
1324,417500
1325,123500
1326,191000
1327,93500
1328,123000
1329,124900
1330,89500
1331,178000
1332,95000
1333,137000
1334,136000
1335,188500
1336,202000
1337,138500
1338,126500
1339,324000
1340,127000
1341,161000
1342,291000
1343,147500
1344,175000
1345,110000
1346,146800
1347,197000
1348,280000
1349,155000
1350,144000
1351,255500
1352,249700
1353,96500
1354,180000
1355,108500
1356,124000
1357,113000
1358,372500
1359,205950
1360,119900
1361,187500
1362,115000
1363,220000
1364,155000
1365,144500
1366,213490
1367,79000
1368,130000
1369,140000
1370,221000
1371,160000
1372,275000
1373,166000
1374,104500
1375,110000
1376,128500
1377,140000
1378,216500
1379,207500
1380,214000
1381,132500
1382,151000
1383,202900
1384,79000
1385,359900
1386,193000
1387,129000
1388,270000
1389,181000
1390,181000
1391,235000
1392,252000
1393,100000
1394,299800
1395,289000
1396,85000
1397,129500
1398,106250
1399,153500
1400,173000
1401,195500
1402,138000
1403,188500
1404,83500
1405,200000
1406,221000
1407,240000
1408,145500
1409,129000
1410,103500
1411,213000
1412,177625
1413,197900
1414,169000
1415,185000
1416,212900
1417,257500
1418,186800
1419,171750
1420,160000
1421,140000
1422,237000
1423,112000
1424,230000
1425,50138
1426,126000
1427,115400
1428,46500
1429,85000
1430,104500
1431,319500
1432,207000
1433,195500
1434,138887
1435,584500
1436,142250
1437,125500
1438,81000
1439,320000
1440,159900
1441,174000
1442,290000
1443,222000
1444,187000
1445,170000
1446,160000
1447,39300
1448,127500
1449,139000
1450,222000
1451,227000
1452,188900
1453,157000
1454,102000
1455,186500
1456,86900
1457,133900
1458,148000
1459,155000
1460,135000
1461,103000
1462,117000
1463,245000
1464,97900
1465,137000
1466,174000
1467,185000
1468,84500
1469,61000
1470,193000
1471,87000
1472,141000
1473,183200
1474,154000
1475,182000
1476,200624
1477,205000
1478,250000
1479,184900
1480,118000
1481,208900
1482,127000
1483,197600
1484,185000
1485,134800
1486,135500
1487,195000
1488,116900
1489,185101
1490,180000
1491,185000
1492,246990
1493,87000
1494,250000
1495,134900
1496,294323
1497,149500
1498,207500
1499,161000
1500,132000
1501,51689
1502,290000
1503,162000
1504,146000
1505,144000
1506,119000
1507,582933
1508,115000
1509,246578
1510,160500
1511,182900
1512,140000
1513,133000
1514,198500
1515,315750
1516,236000
1517,200000
1518,257000
1519,187500
1520,116050
1521,63900
1522,145000
1523,152000
1524,180000
1525,143000
1526,117600
1527,185000
1528,438780
1529,157500
1530,189950
1531,135000
1532,178000
1533,320000
1534,184900
1535,126000
1536,94000
1537,104000
1538,178900
1539,107500
1540,123500
1541,130250
1542,128500
1543,141000
1544,136500
1545,88000
1546,285000
1547,183500
1548,302000
1549,262500
1550,145000
1551,139500
1552,247000
1553,91500
1554,140500
1555,149000
1556,157500
1557,166000
1558,237000
1559,190000
1560,222500
1561,158500
1562,402000
1563,285000
1564,145000
1565,161000
1566,87000
1567,108000
1568,158500
1569,172000
1570,115000
1571,97000
1572,83000
1573,260400
1574,213133
1575,128500
1576,195000
1577,145000
1578,165500
1579,172500
1580,171500
1581,87000
1582,164900
1583,80000
1584,178000
1585,110500
1586,180000
1587,181316
1588,165000
1589,100000
1590,240000
1591,228500
1592,163500
1593,122000
1594,64000
1595,175000
1596,85000
1597,279900
1598,152000
1599,79275
1600,127000
1601,185000
1602,175000
1603,415000
1604,172000
1605,221500
1606,372402
1607,177594
1608,109900
1609,202500
1610,212500
1611,270000
1612,191000
1613,272000
1614,131900
1615,123000
1616,265900
1617,316000
1618,171000
1619,119900
1620,87500
1621,236000
1622,78500
1623,165150
1624,285000
1625,196500
1626,148000
1627,139000
1628,143000
1629,135000
1630,183850
1631,154000
1632,318000
1633,172000
1634,129500
1635,218000
1636,89000
1637,137000
1638,82000
1639,240000
1640,174190
1641,185000
1642,192000
1643,274000
1644,181000
1645,152500
1646,305000
1647,145400
1648,230000
1649,85000
1650,99900
1651,102000
1652,92900
1653,212000
1654,315000
1655,341000
1656,186000
1657,89900
1658,274725
1659,130000
1660,132500
1661,155000
1662,319900
1663,192500
1664,119000
1665,194700
1666,213000
1667,208500
1668,146000
1669,120500
1670,114900
1671,132500
1672,189500
1673,212000
1674,225000
1675,150000
1676,166000
1677,139500
1678,147000
1679,245700
1680,157000
1681,239686
1682,219500
1683,162000
1684,187500
1685,108000
1686,119000
1687,150000
1688,160000
1689,141000
1690,132000
1691,282000
1692,175000
1693,144900
1694,155000
1695,148000
1696,192100
1697,124000
1698,129000
1699,152500
1700,265979
1701,139000
1702,174000
1703,122000
1704,135000
1705,271500
1706,139000
1707,101800
1708,137000
1709,329900
1710,423000
1711,155000
1712,255000
1713,71000
1714,615000
1715,231000
1716,164000
1717,109500
1718,229800
1719,194000
1720,348000
1721,219500
1722,212500
1723,120000
1724,465000
1725,111000
1726,176500
1727,149900
1728,214000
1729,128500
1730,168000
1731,100000
1732,89471
1733,239900
1734,204000
1735,152000
1736,133000
1737,107400
1738,147000
1739,115000
1740,157900
1741,219500
1742,294900
1743,125000
1744,139900
1745,335000
1746,190000
1747,138000
1748,259000
1749,136300
1750,184000
1751,190000
1752,145000
1753,110000
1754,165000
1755,177000
1756,158500
1757,75000
1758,124500
1759,290000
1760,401179
1761,375000
1762,207500
1763,140500
1764,188000
1765,108480
1766,139500
1767,244600
1768,178000
1769,177439
1770,233230
1771,437154
1772,142000
1773,280000
1774,207500
1775,154000
1776,100000
1777,73000
1778,130000
1779,105000
1780,226500
1781,199900
1782,143000
1783,215000
1784,169900
1785,239000
1786,180000
1787,259000
1788,162000
1789,81500
1790,238500
1791,128500
1792,179000
1793,114000
1794,93000
1795,121000
1796,260000
1797,125000
1798,230000
1799,220000
1800,225000
1801,310090
1802,146000
1803,175500
1804,145000
1805,60000
1806,450000
1807,185500
1808,165400
1809,229800
1810,113722
1811,323262
1812,134900
1813,161900
1814,155000
1815,83000
1816,418000
1817,250580
1818,141000
1819,144000
1820,145000
1821,278000
1822,245000
1823,345000
1824,213000
1825,305900
1826,138000
1827,253000
1828,204900
1829,140000
1830,139000
1831,113000
1832,248500
1833,115000
1834,260000
1835,84000
1836,372000
1837,107000
1838,132000
1839,133000
1840,202500
1841,146500
1842,205000
1843,286000
1844,187500
1845,175000
1846,157500
1847,369900
1848,160250
1849,106000
1850,141000
1851,163000
1852,625000
1853,466500
1854,133000
1855,137500
1856,230000
1857,147000
1858,122000
1859,93369
1860,172500
1861,136000
1862,213000
1863,267300
1864,150000
1865,285000
1866,376162
1867,254000
1868,173000
1869,203000
1870,173500
1871,179665
1872,136500
1873,183000
1874,280750
1875,245350
1876,170000
1877,186500
1878,268000
1879,174000
1880,185000
1881,287500
1882,130000
1883,129900
1884,254900
1885,119500
1886,223000
1887,176000
1888,135000
1889,148500
1890,163990
1891,325300
1892,185000
1893,225000
1894,159000
1895,127500
1896,124000
1897,217000
1898,226001
1899,259500
1900,200825
1901,91000
1902,231500
1903,140200
1904,160000
1905,131000
1906,173500
1907,144500
1908,153000
1909,555000
1910,44000
1911,124500
1912,249000
1913,270000
1914,125000
1915,146500
1916,122500
1917,184000
1918,64500
1919,330000
1920,205000
1921,132500
1922,177000
1923,148000
1924,160000
1925,132000
1926,134500
1927,164500
1928,139900
1929,144000
1930,192000
1931,217000
1932,155000
1933,125500
1934,122000
1935,98500
1936,293200
1937,234250
1938,159000
1939,210000
1940,84500
1941,125000
1942,315000
1943,175000
1944,131500
1945,120000
1946,109500
1947,136900
1948,75000
1949,345474
1950,127000
1951,214000
1952,151000
1953,171000
1954,318000
1955,338931
1956,167800
1957,150000
1958,240000
1959,167500
1960,143000
1961,139000
1962,248000
1963,93000
1964,110000
1965,214000
1966,164990
1967,214000
1968,204750
1969,112000
1970,144750
1971,359100
1972,154204
1973,147000
1974,260000
1975,132000
1976,145000
1977,177500
1978,160000
1979,133500
1980,140000
1981,235000
1982,158000
1983,122000
1984,129900
1985,165000
1986,105500
1987,145000
1988,200000
1989,280000
1990,120000
1991,301000
1992,173000
1993,182000
1994,124000
1995,275000
1996,213250
1997,151400
1998,251000
1999,377426
2000,230000
2001,171900
2002,137900
2003,385000
2004,114000
2005,276000
2006,146500
2007,320000
2008,274000
2009,161500
2010,137500
2011,107000
2012,189000
2013,262500
2014,215000
2015,241500
2016,204000
2017,290000
2018,137900
2019,178000
2020,108000
2021,213000
2022,139000
2023,149000
2024,103000
2025,180000
2026,145900
2027,85000
2028,138000
2029,258000
2030,415000
2031,180500
2032,99500
2033,137000
2034,220000
2035,176000
2036,183500
2037,255900
2038,181900
2039,294464
2040,100000
2041,130000
2042,172500
2043,118858
2044,215000
2045,105000
2046,189000
2047,110000
2048,248000
2049,97000
2050,125500
2051,150000
2052,156000
2053,200000
2054,177500
2055,119900
2056,127000
2057,155000
2058,130000
2059,99000
2060,88000
2061,190000
2062,315000
2063,475000
2064,146000
2065,215000
2066,119500
2067,221500
2068,214000
2069,127000
2070,124400
2071,153500
2072,240000
2073,163500
2074,114504
2075,170000
2076,157000
2077,261500
2078,106500
2079,149900
2080,156000
2081,153000
2082,186500
2083,166000
2084,109000
2085,127000
2086,157000
2087,239000
2088,143000
2089,151000
2090,257000
2091,277500
2092,213500
2093,310013
2094,279500
2095,287000
2096,209000
2097,421250
2098,315000
2099,209700
2100,147900
2101,222000
2102,106000
2103,96500
2104,35311
2105,311500
2106,242500
2107,175900
2108,235000
2109,303477
2110,254000
2111,130000
2112,255000
2113,255000
2114,140000
2115,150000
2116,66500
2117,170000
2118,211000
2119,193000
2120,140000
2121,124000
2122,134000
2123,84900
2124,237000
2125,122500
2126,130000
2127,145500
2128,110000
2129,170000
2130,144900
2131,112500
2132,144000
2133,227875
2134,140000
2135,392000
2136,295000
2137,163500
2138,160500
2139,142000
2140,124900
2141,538000
2142,55000
2143,170000
2144,64500
2145,136000
2146,168500
2147,167000
2148,340000
2149,116000
2150,210000
2151,312500
2152,218836
2153,99600
2154,176000
2155,224243
2156,176400
2157,149500
2158,451950
2159,114500
2160,223500
2161,256000
2162,170000
2163,179781
2164,157900
2165,137900
2166,157000
2167,139000
2168,214900
2169,157000
2170,153575
2171,110000
2172,235128
2173,137500
2174,91000
2175,62500
2176,141000
2177,123000
2178,405000
2179,163000
2180,187000
2181,270000
2182,185000
2183,150000
2184,147000
2185,178400
2186,79900
2187,210900
2188,116500
2189,142000
2190,316500
2191,176000
2192,220000
2193,160000
2194,225000
2195,83000
2196,250000
